date,ticker,headline,sector,category,true_label
2019-04-02,AAPL,AAPL raises full-year guidance citing strong Cloud demand,Technology,Earnings,positive
2019-04-03,MARKET,"GDP growth revised to 2.6463279050955446%, economy shows weakness",Macro,Macro,neutral
2019-04-05,MARKET,"GDP growth revised to 4.3300382659591765%, economy shows weakness",Macro,Macro,neutral
2019-04-10,MARKET,S&P 500 enters correction territory amid global uncertainty,Macro,Macro,neutral
2019-04-11,MARKET,Sector rotation: investors flee Industrials for Consumer amid global uncertainty,Macro,Macro,neutral
2019-04-16,AAPL,"AAPL reports record quarterly revenue, beats estimates by 20%",Technology,Analyst,positive
2019-04-17,AAPL,"AAPL reports record quarterly revenue, beats estimates by 13%",Technology,Regulatory,positive
2019-04-22,AAPL,AAPL raises full-year guidance citing strong GPU demand,Technology,Product,positive
2019-04-29,AAPL,"Analysts upgrade AAPL to Buy, raise price target to $538",Technology,Regulatory,positive
2019-05-01,MARKET,"GDP growth revised to 4.667571616422919%, economy shows weakness",Macro,Macro,neutral
2019-05-07,AAPL,"AAPL misses revenue estimates by 14%, guides lower for next quarter",Technology,Regulatory,negative
2019-05-10,AAPL,"AAPL faces antitrust investigation in EU, shares fall",Technology,Earnings,negative
2019-05-16,MARKET,"Federal Reserve holds rates steady, signals data-dependent approach",Macro,Macro,neutral
2019-05-21,AAPL,"AAPL reports record quarterly revenue, beats estimates by 18%",Technology,Merger,positive
2019-05-22,AAPL,"Data breach at AAPL affects 32M users, regulatory scrutiny follows",Technology,Merger,negative
2019-05-24,AAPL,"AAPL faces antitrust investigation in EU, shares fall",Technology,Product,negative
2019-05-28,MARKET,"GDP growth revised to 3.343390146485256%, economy shows resilience",Macro,Macro,neutral
2019-05-30,MARKET,VIX spikes to 32 as market volatility surges,Macro,Macro,neutral
2019-06-04,AAPL,AAPL announces 28B share buyback program,Technology,Product,positive
2019-06-10,AAPL,"Analysts upgrade AAPL to Buy, raise price target to $227",Technology,Product,positive
2019-06-11,MARKET,"10-year Treasury yield reaches 3.309410667766937%, highest since 2015",Macro,Macro,positive
2019-06-18,AAPL,"AAPL reports record quarterly revenue, beats estimates by 5%",Technology,Analyst,positive
2019-06-20,AAPL,AAPL announces 15K layoffs amid restructuring plan,Technology,Regulatory,negative
2019-06-21,MARKET,"GDP growth revised to 4.3031869136496566%, economy shows weakness",Macro,Macro,neutral
2019-06-27,AAPL,AAPL announces 22B share buyback program,Technology,Product,positive
2019-06-28,MARKET,Sector rotation: investors flee Energy for Industrials amid global uncertainty,Macro,Macro,neutral
2019-07-10,AAPL,"AAPL faces antitrust investigation in EU, shares fall",Technology,Product,negative
2019-07-12,MARKET,Sector rotation: investors flee Technology for Financials amid global uncertainty,Macro,Macro,neutral
2019-07-24,MARKET,S&P 500 enters bear market territory amid global uncertainty,Macro,Macro,neutral
2019-07-31,AAPL,"AAPL faces antitrust investigation in EU, shares fall",Technology,Merger,negative
2019-08-06,AAPL,"Analysts upgrade AAPL to Buy, raise price target to $499",Technology,Analyst,positive
2019-08-09,MARKET,"GDP growth revised to 3.877587779722041%, economy shows weakness",Macro,Macro,neutral
2019-08-12,MARKET,"10-year Treasury yield reaches 2.296328681022559%, highest since 2012",Macro,Macro,neutral
2019-08-13,MARKET,VIX spikes to 34 as market volatility surges,Macro,Macro,neutral
2019-08-22,MARKET,S&P 500 enters correction territory amid global uncertainty,Macro,Macro,neutral
2019-08-27,AAPL,"Data breach at AAPL affects 47M users, regulatory scrutiny follows",Technology,Analyst,negative
2019-09-05,AAPL,"Analysts upgrade AAPL to Buy, raise price target to $511",Technology,Product,positive
2019-09-11,AAPL,AAPL raises full-year guidance citing strong Cloud demand,Technology,Earnings,positive
2019-09-16,MARKET,Sector rotation: investors flee Consumer for Industrials amid global uncertainty,Macro,Macro,neutral
2019-09-18,MARKET,"GDP growth revised to 3.2842330238262862%, economy shows resilience",Macro,Macro,neutral
2019-10-08,AAPL,"Data breach at AAPL affects 33M users, regulatory scrutiny follows",Technology,Product,negative
2019-10-09,MARKET,Sector rotation: investors flee Technology for Financials amid global uncertainty,Macro,Macro,neutral
2019-10-15,AAPL,AAPL announces 40K layoffs amid restructuring plan,Technology,Analyst,negative
2019-10-23,AAPL,AAPL announces 47K layoffs amid restructuring plan,Technology,Product,negative
2019-11-06,MARKET,Sector rotation: investors flee Consumer for Industrials amid global uncertainty,Macro,Macro,neutral
2019-11-12,MARKET,VIX spikes to 36 as market volatility surges,Macro,Macro,neutral
2019-11-13,MARKET,Sector rotation: investors flee Industrials for Consumer amid global uncertainty,Macro,Macro,positive
2019-11-22,MARKET,S&P 500 enters correction territory amid global uncertainty,Macro,Macro,neutral
2019-11-26,MARKET,"GDP growth revised to 5.6136962482019435%, economy shows weakness",Macro,Macro,neutral
2019-11-27,AAPL,"AAPL announces AI partnership with Google, stock surges in premarket",Technology,Analyst,positive
2019-12-03,AAPL,"AAPL misses revenue estimates by 14%, guides lower for next quarter",Technology,Regulatory,negative
2019-12-05,MARKET,"GDP growth revised to 3.827343250671146%, economy shows resilience",Macro,Macro,neutral
2019-12-11,MARKET,"10-year Treasury yield reaches 3.097921520712911%, highest since 2014",Macro,Macro,neutral
2019-12-12,MARKET,Sector rotation: investors flee Financials for Industrials amid global uncertainty,Macro,Macro,neutral
2019-12-18,MARKET,S&P 500 enters bear market territory amid global uncertainty,Macro,Macro,neutral
2019-12-19,AAPL,AAPL announces 19K layoffs amid restructuring plan,Technology,Product,negative
2019-12-27,MARKET,"10-year Treasury yield reaches 3.474342634464156%, highest since 2020",Macro,Macro,neutral
2020-01-14,MARKET,"10-year Treasury yield reaches 2.464481922900438%, highest since 2016",Macro,Macro,negative
2020-01-29,AAPL,AAPL announces 24B share buyback program,Technology,Regulatory,positive
2020-01-30,MARKET,"Federal Reserve holds rates steady, signals data-dependent approach",Macro,Macro,neutral
2020-02-05,MARKET,"CPI inflation comes in at 4.345532334326247%, above consensus estimate",Macro,Macro,neutral
2020-02-12,MARKET,Sector rotation: investors flee Technology for Consumer amid global uncertainty,Macro,Macro,positive
2020-02-14,MARKET,"10-year Treasury yield reaches 5.112068157256811%, highest since 2018",Macro,Macro,neutral
2020-02-24,AAPL,"AAPL misses revenue estimates by 27%, guides lower for next quarter",Technology,Analyst,negative
2020-02-25,AAPL,AAPL announces 43K layoffs amid restructuring plan,Technology,Product,negative
2020-02-26,MARKET,S&P 500 enters bear market territory amid global uncertainty,Macro,Macro,neutral
2020-03-02,AAPL,AAPL raises full-year guidance citing strong Cloud demand,Technology,Product,positive
2020-03-03,AAPL,"Analysts upgrade AAPL to Buy, raise price target to $881",Technology,Earnings,positive
2020-03-10,AAPL,"AAPL reports record quarterly revenue, beats estimates by 16%",Technology,Analyst,positive
2020-03-19,MARKET,"GDP growth revised to 2.1158127242450733%, economy shows weakness",Macro,Macro,neutral
2020-03-20,MARKET,S&P 500 enters bear market territory amid global uncertainty,Macro,Macro,negative
2020-03-30,AAPL,"Analysts upgrade AAPL to Buy, raise price target to $877",Technology,Product,positive
2020-04-02,AAPL,"AAPL reports record quarterly revenue, beats estimates by 14%",Technology,Regulatory,positive
2020-04-03,AAPL,"AAPL misses revenue estimates by 14%, guides lower for next quarter",Technology,Regulatory,negative
2020-04-06,AAPL,"AAPL announces AI partnership with NVIDIA, stock surges in premarket",Technology,Regulatory,positive
2020-04-07,AAPL,AAPL announces 37B share buyback program,Technology,Product,positive
2020-04-08,AAPL,"AAPL announces AI partnership with Microsoft, stock surges in premarket",Technology,Product,positive
2020-04-20,AAPL,"AAPL faces antitrust investigation in EU, shares fall",Technology,Analyst,negative
2020-04-21,AAPL,"AAPL misses revenue estimates by 29%, guides lower for next quarter",Technology,Merger,negative
2020-05-01,AAPL,AAPL announces 24K layoffs amid restructuring plan,Technology,Product,negative
2020-05-05,AAPL,"AAPL reports record quarterly revenue, beats estimates by 17%",Technology,Merger,positive
2020-05-11,AAPL,AAPL raises full-year guidance citing strong Cloud demand,Technology,Product,positive
2020-05-22,MARKET,"GDP growth revised to 2.26364741711887%, economy shows weakness",Macro,Macro,neutral
2020-05-27,MARKET,S&P 500 enters bear market territory amid global uncertainty,Macro,Macro,neutral
2020-06-01,MARKET,S&P 500 enters correction territory amid global uncertainty,Macro,Macro,neutral
2020-06-02,MARKET,Sector rotation: investors flee Industrials for Industrials amid global uncertainty,Macro,Macro,neutral
2020-06-03,MARKET,VIX spikes to 32 as market volatility surges,Macro,Macro,neutral
2020-06-09,AAPL,"AAPL announces AI partnership with Microsoft, stock surges in premarket",Technology,Analyst,positive
2020-06-22,AAPL,"AAPL announces AI partnership with NVIDIA, stock surges in premarket",Technology,Product,positive
2020-06-25,AAPL,"AAPL announces AI partnership with NVIDIA, stock surges in premarket",Technology,Product,positive
2020-07-07,MARKET,"GDP growth revised to 5.723303618999813%, economy shows resilience",Macro,Macro,neutral
2020-07-16,AAPL,"Data breach at AAPL affects 8M users, regulatory scrutiny follows",Technology,Analyst,negative
2020-07-22,MARKET,VIX spikes to 33 as market volatility surges,Macro,Macro,neutral
2020-07-23,AAPL,"AAPL misses revenue estimates by 7%, guides lower for next quarter",Technology,Earnings,negative
2020-07-30,AAPL,AAPL raises full-year guidance citing strong SaaS demand,Technology,Regulatory,positive
2020-07-31,AAPL,"AAPL announces AI partnership with Microsoft, stock surges in premarket",Technology,Product,positive
2020-08-03,AAPL,"AAPL reports record quarterly revenue, beats estimates by 15%",Technology,Earnings,positive
2020-08-05,MARKET,Sector rotation: investors flee Industrials for Healthcare amid global uncertainty,Macro,Macro,neutral
2020-08-20,AAPL,"Analysts upgrade AAPL to Buy, raise price target to $876",Technology,Regulatory,positive
2020-08-25,MARKET,"10-year Treasury yield reaches 2.169420651400518%, highest since 2014",Macro,Macro,neutral
2020-09-02,AAPL,"AAPL misses revenue estimates by 7%, guides lower for next quarter",Technology,Merger,negative
2020-09-03,AAPL,AAPL announces 28K layoffs amid restructuring plan,Technology,Product,negative
2020-09-08,AAPL,AAPL announces 50B share buyback program,Technology,Product,positive
2020-09-09,AAPL,AAPL announces 29B share buyback program,Technology,Product,positive
2020-09-21,AAPL,"AAPL announces AI partnership with Google, stock surges in premarket",Technology,Product,positive
2020-09-22,AAPL,"Analysts upgrade AAPL to Buy, raise price target to $607",Technology,Product,positive
2020-09-28,MARKET,"Federal Reserve holds rates steady, signals data-dependent approach",Macro,Macro,neutral
2020-10-01,MARKET,"CPI inflation comes in at 3.2164981712298713%, above consensus estimate",Macro,Macro,neutral
2020-10-02,AAPL,"AAPL faces antitrust investigation in EU, shares fall",Technology,Merger,negative
2020-10-06,AAPL,AAPL announces 41K layoffs amid restructuring plan,Technology,Regulatory,negative
2020-10-15,AAPL,"Data breach at AAPL affects 33M users, regulatory scrutiny follows",Technology,Product,negative
2020-10-19,AAPL,AAPL announces 11K layoffs amid restructuring plan,Technology,Regulatory,negative
2020-10-20,AAPL,"AAPL announces AI partnership with Microsoft, stock surges in premarket",Technology,Analyst,positive
2020-10-26,MARKET,VIX spikes to 22 as market volatility surges,Macro,Macro,neutral
2020-10-28,MARKET,"10-year Treasury yield reaches 4.390075084040745%, highest since 2018",Macro,Macro,negative
2020-11-06,MARKET,"Federal Reserve holds rates steady, signals data-dependent approach",Macro,Macro,neutral
2020-11-16,MARKET,VIX spikes to 35 as market volatility surges,Macro,Macro,neutral
2020-11-18,AAPL,AAPL announces 41K layoffs amid restructuring plan,Technology,Regulatory,negative
2020-11-20,AAPL,"Data breach at AAPL affects 43M users, regulatory scrutiny follows",Technology,Product,negative
2020-11-23,AAPL,"AAPL faces antitrust investigation in EU, shares fall",Technology,Product,negative
2020-11-24,MARKET,S&P 500 enters correction territory amid global uncertainty,Macro,Macro,positive
2020-11-25,MARKET,VIX spikes to 26 as market volatility surges,Macro,Macro,neutral
2020-12-01,AAPL,AAPL announces 19K layoffs amid restructuring plan,Technology,Regulatory,negative
2020-12-14,MARKET,VIX spikes to 29 as market volatility surges,Macro,Macro,neutral
2020-12-15,MARKET,"GDP growth revised to 4.989353998872019%, economy shows resilience",Macro,Macro,neutral
2020-12-18,AAPL,"AAPL faces antitrust investigation in EU, shares fall",Technology,Analyst,negative
2020-12-21,AAPL,AAPL announces 49B share buyback program,Technology,Regulatory,positive
2020-12-24,MARKET,VIX spikes to 25 as market volatility surges,Macro,Macro,neutral
2020-12-29,AAPL,"AAPL misses revenue estimates by 23%, guides lower for next quarter",Technology,Merger,negative
2021-01-04,AAPL,"AAPL misses revenue estimates by 10%, guides lower for next quarter",Technology,Analyst,negative
2021-01-05,AAPL,"AAPL announces AI partnership with NVIDIA, stock surges in premarket",Technology,Earnings,positive
2021-01-07,AAPL,"AAPL faces antitrust investigation in EU, shares fall",Technology,Regulatory,negative
2021-01-12,MARKET,S&P 500 enters bear market territory amid global uncertainty,Macro,Macro,neutral
2021-01-25,AAPL,AAPL announces 47K layoffs amid restructuring plan,Technology,Analyst,negative
2021-02-05,MARKET,"CPI inflation comes in at 4.290806696911458%, above consensus estimate",Macro,Macro,neutral
2021-02-08,MARKET,"Federal Reserve holds rates steady, signals data-dependent approach",Macro,Macro,neutral
2021-02-09,MARKET,Sector rotation: investors flee Energy for Technology amid global uncertainty,Macro,Macro,neutral
2021-02-10,MARKET,"Federal Reserve holds rates steady, signals data-dependent approach",Macro,Macro,neutral
2021-03-05,AAPL,"AAPL announces AI partnership with Google, stock surges in premarket",Technology,Product,positive
2021-03-10,MARKET,"GDP growth revised to 2.7539218049469696%, economy shows resilience",Macro,Macro,neutral
2021-03-11,AAPL,"AAPL reports record quarterly revenue, beats estimates by 12%",Technology,Analyst,positive
2021-03-16,AAPL,"Analysts upgrade AAPL to Buy, raise price target to $442",Technology,Analyst,positive
2021-03-22,AAPL,"AAPL announces AI partnership with Microsoft, stock surges in premarket",Technology,Product,positive
2021-03-26,MARKET,Sector rotation: investors flee Industrials for Technology amid global uncertainty,Macro,Macro,neutral
2021-04-01,MARKET,"CPI inflation comes in at 3.3210519744964198%, above consensus estimate",Macro,Macro,neutral
2021-04-07,AAPL,"Analysts upgrade AAPL to Buy, raise price target to $215",Technology,Analyst,positive
2021-04-09,AAPL,"AAPL faces antitrust investigation in EU, shares fall",Technology,Product,negative
2021-04-14,AAPL,"AAPL misses revenue estimates by 29%, guides lower for next quarter",Technology,Earnings,negative
2021-04-16,MARKET,"GDP growth revised to 4.213246254168697%, economy shows weakness",Macro,Macro,neutral
2021-04-20,AAPL,AAPL announces 36K layoffs amid restructuring plan,Technology,Product,negative
2021-04-21,AAPL,"Analysts upgrade AAPL to Buy, raise price target to $736",Technology,Earnings,positive
2021-04-29,AAPL,AAPL announces 43B share buyback program,Technology,Product,positive
2021-04-30,AAPL,"AAPL misses revenue estimates by 22%, guides lower for next quarter",Technology,Product,negative
2021-05-05,MARKET,"CPI inflation comes in at 2.9638753292540327%, below consensus estimate",Macro,Macro,neutral
2021-05-07,MARKET,"GDP growth revised to 4.7361665018815415%, economy shows resilience",Macro,Macro,neutral
2021-05-13,MARKET,Sector rotation: investors flee Financials for Technology amid global uncertainty,Macro,Macro,neutral
2021-05-18,AAPL,"AAPL faces antitrust investigation in EU, shares fall",Technology,Product,negative
2021-05-20,AAPL,AAPL announces 45B share buyback program,Technology,Merger,positive
2021-05-25,MARKET,"Federal Reserve holds rates steady, signals data-dependent approach",Macro,Macro,neutral
2021-06-04,AAPL,"AAPL reports record quarterly revenue, beats estimates by 7%",Technology,Product,positive
2021-06-08,MARKET,"GDP growth revised to 3.7789434599851814%, economy shows resilience",Macro,Macro,neutral
2021-06-11,MARKET,VIX spikes to 29 as market volatility surges,Macro,Macro,neutral
2021-06-14,AAPL,"AAPL announces AI partnership with Google, stock surges in premarket",Technology,Analyst,positive
2021-06-15,MARKET,"10-year Treasury yield reaches 3.199009015686253%, highest since 2014",Macro,Macro,neutral
2021-06-16,MARKET,"GDP growth revised to 2.027069477701886%, economy shows weakness",Macro,Macro,neutral
2021-06-29,AAPL,AAPL announces 26B share buyback program,Technology,Merger,positive
2021-06-30,AAPL,"Analysts upgrade AAPL to Buy, raise price target to $648",Technology,Earnings,positive
2021-07-09,AAPL,AAPL announces 38B share buyback program,Technology,Merger,positive
2021-07-15,MARKET,Sector rotation: investors flee Consumer for Energy amid global uncertainty,Macro,Macro,neutral
2021-07-16,MARKET,S&P 500 enters correction territory amid global uncertainty,Macro,Macro,neutral
2021-08-02,MARKET,"10-year Treasury yield reaches 5.68219017868423%, highest since 2012",Macro,Macro,neutral
2021-08-06,AAPL,AAPL announces 46K layoffs amid restructuring plan,Technology,Earnings,negative
2021-08-10,AAPL,"Analysts upgrade AAPL to Buy, raise price target to $437",Technology,Analyst,positive
2021-08-11,MARKET,"10-year Treasury yield reaches 2.1167690973695623%, highest since 2019",Macro,Macro,neutral
2021-08-12,AAPL,"AAPL reports record quarterly revenue, beats estimates by 8%",Technology,Product,positive
2021-08-13,MARKET,"10-year Treasury yield reaches 4.110860078511131%, highest since 2019",Macro,Macro,neutral
2021-08-20,MARKET,"CPI inflation comes in at 3.252742979462792%, above consensus estimate",Macro,Macro,positive
2021-08-25,MARKET,"CPI inflation comes in at 3.9466808627695333%, above consensus estimate",Macro,Macro,neutral
2021-09-02,MARKET,VIX spikes to 35 as market volatility surges,Macro,Macro,neutral
2021-09-07,AAPL,"AAPL announces AI partnership with Microsoft, stock surges in premarket",Technology,Product,positive
2021-09-15,MARKET,"GDP growth revised to 4.168173516470519%, economy shows weakness",Macro,Macro,neutral
2021-09-20,AAPL,"AAPL misses revenue estimates by 8%, guides lower for next quarter",Technology,Regulatory,negative
2021-10-05,AAPL,AAPL announces 13K layoffs amid restructuring plan,Technology,Analyst,negative
2021-10-06,AAPL,AAPL announces 18B share buyback program,Technology,Product,positive
2021-10-12,MARKET,"GDP growth revised to 4.778814462910178%, economy shows weakness",Macro,Macro,neutral
2021-10-14,MARKET,S&P 500 enters correction territory amid global uncertainty,Macro,Macro,neutral
2021-10-18,AAPL,AAPL announces 7B share buyback program,Technology,Earnings,positive
2021-10-19,AAPL,"Data breach at AAPL affects 22M users, regulatory scrutiny follows",Technology,Earnings,negative
2021-10-21,MARKET,S&P 500 enters correction territory amid global uncertainty,Macro,Macro,neutral
2021-10-22,MARKET,"CPI inflation comes in at 4.374717987364258%, below consensus estimate",Macro,Macro,neutral
2021-10-27,MARKET,Sector rotation: investors flee Consumer for Industrials amid global uncertainty,Macro,Macro,neutral
2021-10-29,MARKET,VIX spikes to 26 as market volatility surges,Macro,Macro,positive
2021-11-03,AAPL,"Analysts upgrade AAPL to Buy, raise price target to $453",Technology,Earnings,positive
2021-11-04,MARKET,S&P 500 enters correction territory amid global uncertainty,Macro,Macro,neutral
2021-11-05,MARKET,Sector rotation: investors flee Consumer for Energy amid global uncertainty,Macro,Macro,neutral
2021-11-08,AAPL,AAPL raises full-year guidance citing strong GPU demand,Technology,Analyst,positive
2021-11-12,AAPL,"AAPL reports record quarterly revenue, beats estimates by 6%",Technology,Merger,positive
2021-11-22,MARKET,"Federal Reserve holds rates steady, signals data-dependent approach",Macro,Macro,neutral
2021-12-02,MARKET,"10-year Treasury yield reaches 2.463946326177473%, highest since 2020",Macro,Macro,neutral
2021-12-03,AAPL,AAPL announces 22K layoffs amid restructuring plan,Technology,Earnings,negative
2021-12-07,AAPL,AAPL announces 36K layoffs amid restructuring plan,Technology,Merger,negative
2021-12-08,AAPL,"Analysts upgrade AAPL to Buy, raise price target to $245",Technology,Analyst,positive
2021-12-09,MARKET,"CPI inflation comes in at 2.7158437350738067%, above consensus estimate",Macro,Macro,neutral
2021-12-13,AAPL,"AAPL misses revenue estimates by 12%, guides lower for next quarter",Technology,Regulatory,negative
2021-12-16,AAPL,AAPL announces 42K layoffs amid restructuring plan,Technology,Product,negative
2021-12-27,AAPL,AAPL raises full-year guidance citing strong SaaS demand,Technology,Earnings,positive
2021-12-28,AAPL,"AAPL misses revenue estimates by 27%, guides lower for next quarter",Technology,Product,negative
2022-01-03,AAPL,AAPL announces 28B share buyback program,Technology,Analyst,positive
2022-01-04,AAPL,AAPL announces 13K layoffs amid restructuring plan,Technology,Merger,negative
2022-01-05,AAPL,AAPL announces 33K layoffs amid restructuring plan,Technology,Regulatory,negative
2022-01-10,AAPL,"AAPL misses revenue estimates by 15%, guides lower for next quarter",Technology,Product,negative
2022-01-13,AAPL,AAPL announces 9B share buyback program,Technology,Earnings,positive
2022-01-19,AAPL,"AAPL misses revenue estimates by 7%, guides lower for next quarter",Technology,Analyst,negative
2022-01-20,AAPL,"Data breach at AAPL affects 36M users, regulatory scrutiny follows",Technology,Earnings,negative
2022-01-27,MARKET,"CPI inflation comes in at 2.1385977749260237%, above consensus estimate",Macro,Macro,neutral
2022-01-28,AAPL,"Analysts upgrade AAPL to Buy, raise price target to $1000",Technology,Regulatory,positive
2022-02-07,MARKET,VIX spikes to 36 as market volatility surges,Macro,Macro,neutral
2022-02-10,AAPL,"AAPL misses revenue estimates by 23%, guides lower for next quarter",Technology,Merger,negative
2022-02-23,AAPL,"AAPL faces antitrust investigation in EU, shares fall",Technology,Earnings,negative
2022-02-25,AAPL,AAPL raises full-year guidance citing strong Cloud demand,Technology,Analyst,positive
2022-03-09,AAPL,"AAPL announces AI partnership with NVIDIA, stock surges in premarket",Technology,Merger,positive
2022-03-15,AAPL,AAPL raises full-year guidance citing strong SaaS demand,Technology,Product,positive
2022-03-21,MARKET,Sector rotation: investors flee Consumer for Technology amid global uncertainty,Macro,Macro,neutral
2022-03-22,AAPL,"AAPL reports record quarterly revenue, beats estimates by 15%",Technology,Earnings,positive
2022-03-28,MARKET,"10-year Treasury yield reaches 5.876407300422741%, highest since 2016",Macro,Macro,neutral
2022-04-04,AAPL,AAPL raises full-year guidance citing strong Cloud demand,Technology,Product,positive
2022-04-05,AAPL,"AAPL misses revenue estimates by 24%, guides lower for next quarter",Technology,Analyst,negative
2022-04-08,AAPL,"Data breach at AAPL affects 8M users, regulatory scrutiny follows",Technology,Product,negative
2022-04-13,AAPL,AAPL raises full-year guidance citing strong Cloud demand,Technology,Regulatory,positive
2022-04-19,AAPL,AAPL announces 29K layoffs amid restructuring plan,Technology,Regulatory,negative
2022-04-20,MARKET,"10-year Treasury yield reaches 3.860231824618602%, highest since 2019",Macro,Macro,neutral
2022-04-22,AAPL,"AAPL faces antitrust investigation in EU, shares fall",Technology,Merger,negative
2022-04-27,MARKET,"Federal Reserve holds rates steady, signals data-dependent approach",Macro,Macro,neutral
2022-04-28,MARKET,S&P 500 enters correction territory amid global uncertainty,Macro,Macro,positive
2022-05-03,MARKET,Sector rotation: investors flee Energy for Energy amid global uncertainty,Macro,Macro,neutral
2022-05-06,MARKET,Sector rotation: investors flee Consumer for Energy amid global uncertainty,Macro,Macro,neutral
2022-05-11,AAPL,"Data breach at AAPL affects 35M users, regulatory scrutiny follows",Technology,Regulatory,negative
2022-05-13,AAPL,"Data breach at AAPL affects 25M users, regulatory scrutiny follows",Technology,Regulatory,negative
2022-05-18,AAPL,"Data breach at AAPL affects 15M users, regulatory scrutiny follows",Technology,Earnings,negative
2022-05-23,MARKET,"Federal Reserve holds rates steady, signals data-dependent approach",Macro,Macro,neutral
2022-05-25,MARKET,"10-year Treasury yield reaches 4.020505499748655%, highest since 2013",Macro,Macro,neutral
2022-05-26,MARKET,VIX spikes to 29 as market volatility surges,Macro,Macro,neutral
2022-05-27,AAPL,"AAPL announces AI partnership with Google, stock surges in premarket",Technology,Earnings,positive
2022-06-06,MARKET,Sector rotation: investors flee Industrials for Healthcare amid global uncertainty,Macro,Macro,neutral
2022-06-09,AAPL,"Data breach at AAPL affects 46M users, regulatory scrutiny follows",Technology,Merger,negative
2022-06-13,MARKET,"GDP growth revised to 4.562378982458624%, economy shows weakness",Macro,Macro,negative
2022-06-15,AAPL,"Analysts upgrade AAPL to Buy, raise price target to $938",Technology,Product,positive
2022-06-17,AAPL,"AAPL reports record quarterly revenue, beats estimates by 11%",Technology,Product,positive
2022-06-29,AAPL,AAPL raises full-year guidance citing strong SaaS demand,Technology,Analyst,positive
2022-07-07,AAPL,AAPL announces 40B share buyback program,Technology,Analyst,positive
2022-07-13,MARKET,Sector rotation: investors flee Technology for Healthcare amid global uncertainty,Macro,Macro,neutral
2022-07-15,AAPL,"AAPL announces AI partnership with Google, stock surges in premarket",Technology,Analyst,positive
2022-07-19,AAPL,AAPL announces 25B share buyback program,Technology,Merger,positive
2022-07-20,MARKET,"GDP growth revised to 5.0273909519084885%, economy shows resilience",Macro,Macro,positive
2022-07-25,MARKET,"GDP growth revised to 2.6680807490732374%, economy shows weakness",Macro,Macro,neutral
2022-07-27,AAPL,"AAPL faces antitrust investigation in EU, shares fall",Technology,Analyst,negative
2022-08-01,MARKET,S&P 500 enters correction territory amid global uncertainty,Macro,Macro,neutral
2022-08-04,MARKET,"10-year Treasury yield reaches 3.7772571557835866%, highest since 2017",Macro,Macro,neutral
2022-08-11,MARKET,"CPI inflation comes in at 3.6753030070857022%, above consensus estimate",Macro,Macro,neutral
2022-08-22,AAPL,"Data breach at AAPL affects 12M users, regulatory scrutiny follows",Technology,Merger,negative
2022-08-24,MARKET,VIX spikes to 27 as market volatility surges,Macro,Macro,neutral
